"AmazonID","Name","Price","Added"
"1468093657","The Making of Prince of Persia: Journals 1985 - 1993",14.58,"30 August 2022"
"1501124021","Principles: Life and Work",15.58,"17 August 2022"
"0349411905","Deep Work: Rules for Focused Success in a Distracted World",9.98,"18 January 2019"
"1509866132","Hyperfocus: How to Work Less to Achieve More",7.29,"17 August 2022"
"0323997317","Hayabusa2 Asteroid Sample Return Mission: Technological Innovation and Advances",123.0,"16 August 2022"
"1788178564","Expert Secrets: The Underground Playbook for Converting Your Online Visitors into Lifelong Customers",11.75,"6 August 2022"
"1788178556","Dotcom Secrets: The Underground Playbook for Growing Your Company Online with Sales Funnels",14.99,"6 August 2022"
"3982195705","Zero to Sold: How to Start, Run, and Sell a Bootstrapped Business",22.22,"6 August 2022"
"1788167546","The Unfair Advantage: BUSINESS BOOK OF THE YEAR AWARD-WINNER: How You Already Have What It Takes to Succeed",8.25,"6 August 2022"
"152309513X","Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time [Paperback]",12.63,"31 July 2022"
"1847941494","Never Split the Difference: Negotiating as if Your Life Depended on It",7.99,"23 July 2022"
"1847941834","Atomic Habits: the life-changing million-copy #1 bestseller",13.15,"23 July 2022"
"0190495995","The Elephant in the Brain: Hidden Motives in Everyday Life",20.82,"23 July 2022"
"B01M9JOAFI","The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life",20.2,"23 July 2022"
"184794292X","Exponential: Order and Chaos in an Age of Accelerating Technology",9.95,"10 July 2022"
"1736633309","Continuous Discovery Habits: Discover Products that Create Customer Value and Business Value",14.09,"3 July 2022"
"1526605481","Behind the Enigma: The Authorised History of GCHQ, Britain’s Secret Cyber-Intelligence Agency",10.56,"4 February 2022"
"0140444440","Penguin Classics Homer The Iliad",7.39,"20 January 2022"
"0140449116","The Odyssey (Penguin Classics)",6.79,"20 January 2022"
"1484262271","Data Teams: A Unified Management Model for Successful Data-Focused Teams",30.22,"14 February 2021"
"147460188X","The Ascent of Gravity: The Quest to Understand the Force that Explains Everything",6.9,"9 January 2021"
"1942788916","Sooner Safer Happier: Patterns and Antipatterns for Organizational Agility: Antipatterns and Patterns for Business Agility",18.55,"2 January 2021"
"0672326140","Inmates Are Running the Asylum, The: Why High Tech Products Drive Us Crazy and How to Restore the Sanity",20.95,"11 December 2020"
"1119551447","Testing Business Ideas: A Field Guide for Rapid Experimentation (The Strategyzer Series)",19.05,"8 September 2020"
"0465050654","Hachette India The Design Of Everyday Things: Revised And Expanded Edition",13.99,"7 September 2020"
"1838607684","How to Lose the Information War: Russia, Fake News, and the Future of Conflict",20.0,"29 July 2020"
"0062273205","The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers",14.24,"6 January 2016"
"B0739PYQSS","Extreme Ownership: How U.S. Navy SEALs Lead and Win",6.59,"24 May 2020"
"B01BWD0U62","DigitalFusion Space Posters The Grand Tour - A Voyage of a Lifetime - NASA JPL Space Tourism Travel Poster - Unframed (24 x 36)",-inf,"9 February 2020"
"B07QT9QR41","The Unicorn Project: A Novel about Developers, Digital Disruption, and Thriving in the Age of Data",10.09,"25 December 2019"
"0262042878","The Joy of Search: A Google Insider's Guide to Going Beyond the Basics (The MIT Press)",22.86,"29 October 2019"
"1509865837","Children of Ruin (The Children of Time Novels)",119.99,"24 May 2019"
"1447273303","Children of Time: Adrian Tchaikovsky (The Children of Time Novels, 1)",8.39,"24 May 2019"
"1942788339","Accelerate: The Science of Lean Software and Devops: Building and Scaling High Performing Technology Organizations",12.19,"25 June 2018"
"1936661837","Traction: Get a Grip on Your Business",11.18,"14 May 2019"
"1509841105","The Secret Barrister: Stories of the Law and How It's Broken",9.56,"10 May 2019"
"0062292986","Crossing the Chasm, 3rd Edition: Marketing and Selling Disruptive Products to Mainstream Customers (Collins Business Essentials)",18.68,"21 April 2019"
"1781257922","Moneyland: Why Thieves And Crooks Now Rule The World And How To Take It Back",9.5,"19 March 2019"
"147213995X","Mindset - Updated Edition: Changing The Way You think To Fulfil Your Potential",10.28,"19 March 2019"
"1119085292","How to Measure Anything in Cybersecurity Risk",38.45,"7 March 2019"
"0124202314","Measuring and Managing Information Risk: A FAIR Approach",33.99,"7 March 2019"
"1541773837","Dawn of the Code War: America's Battle Against Russia, China, and the Rising Global Cyber Threat",11.93,"16 February 2019"
"0241250838","Team of Teams: New Rules of Engagement for a Complex World",8.85,"12 February 2019"
"1491973897","The Manager`s Path: A Guide for Tech Leaders Navigating Growth and Change",18.9,"18 January 2019"
"B07F3DJMZ1","Project to Product: How to Survive and Thrive in the Age of Digital Disruption with the Flow Framework",7.12,"31 January 2019"
"0691176884","The Diversity Bonus: How Great Teams Pay off in the Knowledge Economy (Our Compelling Interests): 2",14.75,"31 January 2019"
"0141038225","Antifragile: Things that Gain from Disorder",11.04,"31 January 2019"
"0691127026","Complex Adaptive Systems: An Introduction to Computational Models of Social Life (Princeton Studies in Complexity): 17",18.0,"31 January 2019"
"1787474437","Shoot for the Moon: How the Moon Landings Taught us the 8 Secrets of Success",1.27,"26 January 2019"
"1509845380","Radical Candor: How to Get What You Want by Saying What You Mean",8.24,"18 January 2019"
